3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,4
1,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,1
1,7,3,2,2,4,7,3,2,2,2,4,7,1,1,7,3,2,2,2,4,7,3,2,2,4,7,1
1,8,1,0,0,1,7,1,0,0,0,1,7,1,1,7,1,0,0,0,1,7,1,0,0,1,8,1
1,7,5,2,2,6,7,5,2,2,2,6,7,5,6,7,5,2,2,2,6,7,5,2,2,6,7,1
1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
1,7,3,2,2,4,7,3,4,7,3,2,2,2,2,2,2,4,7,3,4,7,3,2,2,4,7,1
1,7,5,2,2,6,7,1,1,7,5,2,2,4,3,2,2,6,7,1,1,7,5,2,2,6,7,1
1,7,7,7,7,7,7,1,1,7,7,7,7,1,1,7,7,7,7,1,1,7,7,7,7,7,7,1
5,2,2,2,2,4,7,1,5,2,2,4,0,1,1,0,3,2,2,6,1,7,3,2,2,2,2,6
0,0,0,0,0,1,7,1,3,2,2,6,0,5,6,0,5,2,2,4,1,7,1,0,0,0,0,0
0,0,0,0,0,1,7,1,1,0,0,0,0,9,0,0,0,0,0,1,1,7,1,0,0,0,0,0
0,0,0,0,0,1,7,1,1,0,3,2,2,0,0,2,2,4,0,1,1,7,1,0,0,0,0,0
0,2,2,2,2,6,7,5,6,0,1,0,0,0,0,0,0,1,0,5,6,7,5,2,2,2,2,0
0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0
0,2,2,2,2,4,7,3,4,0,1,10,0,11,0,12,0,1,0,3,4,7,3,2,2,2,2,0
0,0,0,0,0,1,7,1,1,0,5,2,2,2,2,2,2,6,0,1,1,7,1,0,0,0,0,0
0,0,0,0,0,1,7,1,1,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,0
0,0,0,0,0,1,7,1,1,0,3,2,2,2,2,2,2,4,0,1,1,7,1,0,0,0,0,0
3,2,2,2,2,6,7,5,6,0,5,2,2,4,3,2,2,6,0,5,6,7,5,2,2,2,2,4
1,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,1
1,7,3,2,2,4,7,3,2,2,2,4,7,1,1,7,3,2,2,2,4,7,3,2,2,4,7,1
1,7,5,2,4,1,7,5,2,2,2,6,7,5,6,7,5,2,2,2,6,7,1,3,2,6,7,1
1,8,7,7,1,1,7,7,7,7,7,7,7,0,13,7,7,7,7,7,7,7,1,1,7,7,8,1
5,2,4,7,1,1,7,3,4,7,3,2,2,2,2,2,2,4,7,3,4,7,1,1,7,3,2,6
3,2,6,7,5,6,7,1,1,7,5,2,2,4,3,2,2,6,7,1,1,7,5,6,7,5,2,4
1,7,7,7,7,7,7,1,1,7,7,7,7,1,1,7,7,7,7,1,1,7,7,7,7,7,7,1
1,7,3,2,2,2,2,6,5,2,2,4,7,1,1,7,3,2,2,6,5,2,2,2,2,4,7,1
1,7,5,2,2,2,2,2,2,2,2,6,7,5,6,7,5,2,2,2,2,2,2,2,2,6,7,1
1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
